Key,Values
SB,"2012-08-07, 2012-11-15, 2013-02-21, 2013-05-16, 2013-11-05, 2014-11-12, 2015-07-31, 2015-11-10, 2016-02-11, 2016-06-03, 2016-07-30, 2016-10-31, 2017-02-24, 2017-05-19, 2017-07-27, 2017-11-01, 2018-02-15, 2018-05-30, 2018-07-27, 2018-11-10, 2019-02-19, 2019-05-28, 2019-09-04, 2020-06-09, 2020-08-06, 2021-05-08, 2021-11-04, 2022-03-10, 2022-07-28"
ULCC,"2021-05-14, 2021-08-06, 2022-04-29, 2022-07-28, 2022-10-26"
PANL,"2015-11-13, 2016-03-24, 2016-05-11, 2016-08-16, 2016-11-11, 2017-03-23, 2017-05-11, 2017-08-15, 2017-11-10, 2018-03-22, 2018-05-11, 2018-08-11, 2018-11-13, 2019-03-21, 2019-05-15, 2019-08-13, 2019-11-11, 2020-03-24, 2020-05-14, 2020-08-13, 2021-08-10"
AAL,"2015-01-27, 2015-04-24, 2015-07-27, 2015-10-23, 2016-01-29, 2016-04-22, 2016-07-22, 2016-10-20, 2017-01-27, 2017-04-27, 2017-07-28, 2017-10-26, 2018-01-25, 2018-04-26, 2018-07-26, 2018-10-25, 2019-01-24, 2019-04-26, 2019-07-25, 2019-10-24, 2020-01-23, 2020-04-30, 2020-07-23, 2020-10-22, 2021-01-28, 2021-04-22"
RLGT,"2013-10-02, 2014-09-26, 2015-05-19, 2015-09-29, 2015-11-17, 2016-02-17, 2016-05-17, 2016-09-14, 2016-11-12, 2017-02-09, 2017-05-10, 2017-09-13, 2017-11-10, 2018-02-09, 2018-05-10, 2018-09-14, 2018-11-09, 2019-02-12, 2019-05-12, 2019-09-12, 2019-11-13, 2020-02-11, 2020-05-12, 2021-02-09, 2021-05-10, 2021-09-09, 2021-11-09, 2022-02-14, 2022-05-14"
GNK,"2008-02-14, 2008-05-16, 2008-07-31, 2009-03-02, 2009-05-04, 2013-11-07, 2015-08-05, 2015-11-06, 2016-03-11, 2016-05-10, 2016-08-04, 2016-11-05, 2017-03-02, 2017-05-09, 2017-08-11, 2017-11-04, 2018-02-28, 2018-05-09, 2018-08-09, 2018-11-08, 2019-03-05, 2019-05-10, 2019-08-08, 2019-11-07, 2020-02-26, 2020-05-09, 2021-02-25, 2021-05-09, 2021-08-07"
CAR,"2006-11-09, 2007-02-21, 2008-04-08, 2008-05-07, 2008-11-07, 2009-05-07, 2009-08-05, 2009-11-03, 2010-02-18, 2010-05-04, 2010-08-05, 2010-11-04, 2011-02-17, 2011-05-05, 2011-08-05, 2011-11-03, 2012-02-16, 2012-05-07, 2012-08-03, 2012-11-09, 2013-02-14, 2013-05-02, 2013-08-07, 2013-10-31, 2014-02-20, 2014-05-08, 2014-08-05, 2014-11-01, 2015-02-19, 2015-05-05, 2015-08-04, 2015-11-03, 2016-02-24, 2016-05-04, 2016-08-03, 2016-11-03, 2017-02-16, 2017-05-04, 2017-08-08, 2017-11-07, 2018-02-22, 2018-05-03, 2018-08-08, 2018-11-06, 2019-02-21, 2019-05-02, 2019-08-06, 2019-11-01, 2020-02-20, 2020-05-05"
ARCB,"2009-10-21, 2013-01-30, 2013-04-30, 2013-08-09, 2013-11-11, 2014-01-30, 2014-05-02, 2014-07-31, 2014-11-03, 2015-02-04, 2015-05-04, 2015-08-03, 2015-10-30, 2016-02-03, 2016-04-30, 2016-07-29, 2016-11-03, 2017-02-08, 2017-05-05, 2017-07-28, 2017-11-03, 2018-01-31, 2018-05-11, 2018-08-01, 2018-11-02, 2019-02-01, 2019-05-03, 2019-08-02, 2019-11-01, 2020-01-31, 2020-05-05, 2021-11-02, 2022-02-01, 2022-04-29, 2022-11-01"
CPA,"2009-08-06, 2011-08-04, 2011-11-09, 2012-08-09, 2012-11-09, 2013-02-07, 2013-05-14, 2013-08-09, 2013-11-13, 2014-02-13, 2014-05-08, 2014-08-07, 2014-11-20, 2015-02-12, 2015-05-10, 2015-08-13, 2015-11-14, 2016-02-18, 2016-05-06, 2016-08-05, 2016-11-09, 2017-02-16, 2017-05-14, 2017-08-12, 2017-11-09, 2018-02-22, 2018-05-13, 2018-08-11, 2018-11-15, 2019-02-15, 2019-05-10, 2019-08-09, 2019-11-14, 2020-02-13, 2020-05-10, 2020-08-08, 2021-02-11, 2021-05-08, 2021-08-06, 2021-11-18, 2022-08-06"
DSKE,"2018-03-16, 2018-05-13, 2018-08-13, 2018-11-10, 2019-03-08, 2019-05-06, 2019-08-05, 2020-03-10, 2021-01-29, 2021-05-07, 2021-08-03, 2021-10-22, 2022-01-25, 2022-05-03, 2022-08-02"
